id,local_authority_name,ons_code,region_id,local_authority_id,year,link_length_km,link_length_miles,cars_and_taxis,all_motor_vehicles
321,Hartlepool,E06000001,11,132,1993,385.351,239.45,287107346.8,342253274.6
822,Hartlepool,E06000001,11,132,1993,385.351,239.45,287107346.8,342253274.6
823,Middlesbrough,E06000002,11,170,1993,493.212,306.47,604140895.9,704812232.2
824,Redcar and Cleveland,E06000003,11,171,1993,675.168,419.53,446328948.9,522848364.9
825,Stockton-on-Tees,E06000004,11,163,1993,845.721,525.51,668148077.7,800037861.4
826,Darlington,E06000005,11,164,1993,523.937,325.56,343540975.7,424064976.8
827,Halton,E06000006,5,156,1993,542.459,337.07,409189896,497410108.1
828,Warrington,E06000007,5,74,1993,932.645,579.52,1024182940,1280074513
829,Blackburn with Darwen,E06000008,5,198,1993,549.988,341.75,319820060.2,382343029.2
830,Blackpool,E06000009,5,193,1993,455.685,283.15,291962403.3,335385766.5
831,"Kingston upon Hull, City of",E06000010,8,169,1993,713.66,443.45,561704369.6,680524428.6
832,East Riding of Yorkshire,E06000011,8,89,1993,3367.685,2092.58,1286141161,1624456180
833,North East Lincolnshire,E06000012,8,131,1993,638.187,396.55,427947343.1,520161261.4
834,North Lincolnshire,E06000013,8,130,1993,1384.903,860.54,577615303.5,785495256.5
835,York,E06000014,8,202,1993,826.544,513.59,524500823.9,629222060.7
836,Derby,E06000015,2,119,1993,737.679,458.37,811630615.3,955677822.8
837,Leicester,E06000016,2,153,1993,776.114,482.25,664194750.8,784032114.9
838,Rutland,E06000017,2,98,1993,531.032,329.97,226109271.2,292811254.2
839,Nottingham,E06000018,2,188,1993,772.938,480.28,731875053.4,876982238.1
840,"Herefordshire, County of",E06000019,10,155,1993,3313.255,2058.76,717891305.4,919115259.4
841,Telford and Wrekin,E06000020,10,187,1993,979.593,608.69,574769319.1,692721269
842,Stoke-on-Trent,E06000021,10,140,1993,817.303,507.85,612307553.3,734309806.4
843,Bath and North East Somerset,E06000022,1,115,1993,1025.891,637.46,515122469.8,611016027
844,"Bristol, City of",E06000023,1,144,1993,1103.676,685.79,1028594049,1223835699
845,North Somerset,E06000024,1,183,1993,1103.899,685.93,879067666.7,1051393023
846,South Gloucestershire,E06000025,1,143,1993,1451.545,901.95,1381876879,1701375569
847,Plymouth,E06000026,1,203,1993,785.6,488.15,611513430.9,723682613.5
848,Torbay,E06000027,1,184,1993,513.412,319.02,293247087.6,342480032.2
849,Bournemouth,E06000028,1,182,1993,496.184,308.31,394185006.4,454822596.7
850,Poole,E06000029,1,200,1993,501.136,311.39,386763133.3,453396186.3
851,Swindon,E06000030,1,181,1993,790.318,491.08,706285848.1,853161496.2
852,Peterborough,E06000031,7,129,1993,866.484,538.41,748446811.2,900899872.2
853,Luton,E06000032,7,120,1993,436.302,271.11,372377901.8,440393086.3
854,Southend-on-Sea,E06000033,7,127,1993,435.941,270.88,319161357.7,368984614.8
855,Thurrock,E06000034,7,128,1993,559.343,347.56,619042038.2,775898474.2
856,Medway,E06000035,9,64,1993,790.404,491.13,535702667.7,650588240.3
857,Bracknell Forest,E06000036,9,180,1993,437.113,271.61,356180914.1,408275765.8
858,West Berkshire,E06000037,9,67,1993,1339.808,832.52,1164498133,1420351156
859,Reading,E06000038,9,114,1993,382.132,237.45,322437358.9,376341185.6
860,Slough,E06000039,9,112,1993,305.549,189.86,384101285.4,454999847.1
861,Windsor and Maidenhead,E06000040,9,179,1993,678.151,421.38,827930996.1,964621166.1
862,Wokingham,E06000041,9,113,1993,703.039,436.85,786330885.1,924257154.5
863,Milton Keynes,E06000042,9,191,1993,1136.475,706.17,1037524762,1237592704
864,Brighton and Hove,E06000043,9,136,1993,613.996,381.52,641970880.7,748989528.7
865,Portsmouth,E06000044,9,82,1993,437.073,271.58,596888777.7,705055658.7
866,Southampton,E06000045,9,137,1993,558.654,347.13,537451172,631011438.8
867,Isle of Wight,E06000046,9,199,1993,847.378,526.54,288550203.7,341734473.8
868,Durham,E06000047,11,92,1993,3720.03,2311.52,1540946425,1933100392
869,Shropshire,E06000051,10,116,1993,5061.204,3144.89,1191456740,1515889142
870,Cornwall excluding Isles of Scilly,E06000052,1,139,1993,7507.285,4664.81,1796834221,2183686250
871,Isles of Scilly,E06000053,1,1,1993,36.009,22.37,918577.3831,1407915.275
872,Wiltshire,E06000054,1,68,1993,4599.585,2858.05,2235702322,2735383849
873,Northumberland,E06000057,11,102,1993,5005.786,3110.45,1082036346,1329374495
874,Bolton,E08000001,5,160,1993,1035.337,643.33,910279588.5,1094157460
875,Bury,E08000002,5,86,1993,602.343,374.28,645940808.8,798638073
876,Manchester,E08000003,5,85,1993,1330.124,826.5,1299789364,1533590864
877,Oldham,E08000004,5,162,1993,790.528,491.21,419444522.7,501976746.4
878,Rochdale,E08000005,5,95,1993,755.269,469.3,675724881.1,858587019.3
879,Salford,E08000006,5,90,1993,761.924,473.44,1019524500,1264927509
880,Stockport,E08000007,5,56,1993,958.451,595.55,833611352.8,983413080.1
881,Tameside,E08000008,5,196,1993,724.196,449.99,429584152.3,516678091.8
882,Trafford,E08000009,5,91,1993,778.803,483.93,746996572.5,889107947.7
883,Wigan,E08000010,5,75,1993,1086.627,675.2,822112163.1,1006865372
884,Knowsley,E08000011,5,157,1993,552.187,343.11,568774753.6,692132056.9
885,Liverpool,E08000012,5,161,1993,1392.97,865.55,1060013192,1258375166
886,St. Helens,E08000013,5,158,1993,705.493,438.37,537779767.4,668439855
887,Sefton,E08000014,5,192,1993,964.816,599.51,555222414.8,654103445.9
888,Wirral,E08000015,5,84,1993,1170.36,727.23,745227320,877283213.5
889,Barnsley,E08000016,8,194,1993,1135.249,705.41,729068163.8,914799940.8
890,Doncaster,E08000017,8,79,1993,1631.2,1013.58,1085671767,1414524086
891,Rotherham,E08000018,8,62,1993,1156.817,718.81,930438456.3,1175734572
892,Sheffield,E08000019,8,159,1993,1937.878,1204.14,1167583642,1422999471
893,Newcastle upon Tyne,E08000021,11,172,1993,901.981,560.47,887526074,1036809662
894,North Tyneside,E08000022,11,173,1993,741.558,460.78,628596697.8,728210331
895,South Tyneside,E08000023,11,166,1993,523.824,325.49,362292501.2,426993542.7
896,Sunderland,E08000024,11,94,1993,1121.321,696.76,813803349.7,969912336.3
897,Birmingham,E08000025,10,141,1993,2460.894,1529.13,2937252902,3484512828
898,Coventry,E08000026,10,152,1993,828.042,514.52,855351305.3,996386182.8
899,Dudley,E08000027,10,189,1993,976.583,606.82,813591861,967676425.9
900,Sandwell,E08000028,10,190,1993,858.235,533.28,882813409.1,1092464459
901,Solihull,E08000029,10,151,1993,832.158,517.08,964999159.9,1159964743
902,Walsall,E08000030,10,150,1993,828.579,514.86,657783370.7,821241244.3
